course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction,departure_time,is_theorical
268436781,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,16:41:32,1
268436770,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,17:21:32,1
268436637,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,18:02:32,1
268436772,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,18:42:32,1
268436639,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,19:20:32,1
268436774,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,20:25:32,1
268436742,DORIAS,7216,DORIA,10,AIGUELONGUE,1,07:11:06,1
268436754,DORIAS,7216,DORIA,10,AIGUELONGUE,1,07:46:06,1
268436744,DORIAS,7216,DORIA,10,AIGUELONGUE,1,08:27:06,1
268436756,DORIAS,7216,DORIA,10,AIGUELONGUE,1,09:07:06,1
268436746,DORIAS,7216,DORIA,10,AIGUELONGUE,1,09:47:06,1
268436758,DORIAS,7216,DORIA,10,AIGUELONGUE,1,10:28:06,1
268436748,DORIAS,7216,DORIA,10,AIGUELONGUE,1,11:08:06,1
268436760,DORIAS,7216,DORIA,10,AIGUELONGUE,1,11:47:06,1
268436750,DORIAS,7216,DORIA,10,AIGUELONGUE,1,12:28:06,1
268436762,DORIAS,7216,DORIA,10,AIGUELONGUE,1,13:07:06,1
268436777,DORIAS,7216,DORIA,10,AIGUELONGUE,1,13:48:06,1
268436766,DORIAS,7216,DORIA,10,AIGUELONGUE,1,14:28:06,1
268436779,DORIAS,7216,DORIA,10,AIGUELONGUE,1,15:08:06,1
268436768,DORIAS,7216,DORIA,10,AIGUELONGUE,1,15:48:06,1
268436781,DORIAS,7216,DORIA,10,AIGUELONGUE,1,16:28:06,1
268436770,DORIAS,7216,DORIA,10,AIGUELONGUE,1,17:08:06,1
268436637,DORIAS,7216,DORIA,10,AIGUELONGUE,1,17:49:06,1
268436772,DORIAS,7216,DORIA,10,AIGUELONGUE,1,18:29:06,1
268436639,DORIAS,7216,DORIA,10,AIGUELONGUE,1,19:08:06,1
268436774,DORIAS,7216,DORIA,10,AIGUELONGUE,1,20:12:20,1
268436742,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,07:07:53,1
268436754,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,07:42:53,1
268436744,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,08:23:53,1
268436756,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,09:03:53,1
268436746,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,09:43:53,1
268436758,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,10:24:53,1
268436748,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,11:04:53,1
268436760,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,11:43:53,1
268436750,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,12:24:53,1
268436762,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,13:03:53,1
268436777,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,13:44:53,1
268436766,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,14:24:53,1
268436779,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,15:04:53,1
268436768,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,15:44:53,1
268436781,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,16:24:53,1
268436770,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,17:04:53,1
268436637,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,17:45:53,1
268436772,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,18:25:53,1
268436639,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,19:04:53,1
268436774,ERABLESE,9115,ERABLES,10,AIGUELONGUE,1,20:08:53,1
268436742,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,07:06:28,1
268436754,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,07:41:28,1
268436744,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,08:22:28,1
268436756,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,09:02:28,1
268436746,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,09:42:28,1
268436758,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,10:23:28,1
268436748,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,11:03:28,1
268436760,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,11:42:28,1
268436750,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,12:23:28,1
268436762,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,13:02:28,1
268436777,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,13:43:28,1
268436766,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,14:23:28,1
268436779,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,15:03:28,1
268436768,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,15:43:28,1
268436781,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,16:23:28,1
268436770,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,17:03:28,1
268436637,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,17:44:28,1
268436772,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,18:24:28,1
268436639,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,19:03:28,1
268436774,ESPERANE,9112,ESPERANCE,10,AIGUELONGUE,1,20:07:28,1
268436742,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,07:16:42,1
268436754,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,07:51:42,1
268436744,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,08:32:42,1
268436756,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,09:12:42,1
268436746,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,09:52:42,1
