stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
14,01126,Raimbaud d'Orange,43.6374853024761,3.82079526176382,0,S3652
35,01211,Raimbaud d'Orange,43.637413743007,3.82142467102694,0,S3652
S3653,,Razeteurs,43.5956233398826,3.88412499227601,1,
529,12212,Razeteurs,43.5956233398826,3.88412499227601,0,S3653
S3654,,Renaudel,43.614640096864,3.8281698327723,1,
11,01115,Renaudel,43.614640096864,3.8281698327723,0,S3654
38,01223,Renaudel,43.6146038104899,3.8281936310748,0,S3654
S3655,,René Bougnol,43.6364430280063,3.87421507127824,1,
487,11120,René Bougnol,43.6364430280063,3.87421507127824,0,S3655
493,11203,René Bougnol,43.6364745563365,3.87389409785518,0,S3655
S3656,,Renouvier,43.6071219610824,3.86636182045032,1,
554,15217,Renouvier,43.6071219610824,3.86636182045032,0,S3656
S3657,,Restanque,43.5904166495416,3.8848744732649,1,
1281,43135,Restanque,43.5904166495416,3.8848744732649,0,S3657
1301,43223,Restanque,43.5904335598282,3.88494913850408,0,S3657
S3658,,Rièges,43.6197125397298,3.84937529505924,1,
410,10113,Rièges,43.6197125397298,3.84937529505924,0,S3658
442,10206,Rièges,43.6195789550144,3.8492851386416,0,S3658
S3659,,Rives du Lez,43.6040712861004,3.89493087057306,1,
1165,41145,Rives du Lez,43.6040712861004,3.89493087057306,0,S3659
1178,41211,Rives du Lez,43.6040171912106,3.89494176586073,0,S3659
1217,42133,Rives du Lez,43.6039440669125,3.89377691614059,0,S3659
1250,42237,Rives du Lez,43.6039889975652,3.89377814079108,0,S3659
S3660,,Ronceray,43.5937857012004,3.86032764487268,1,
217,06107,Ronceray,43.5937857012004,3.86032764487268,0,S3660
236,06214,Ronceray,43.5939382913426,3.86034408238654,0,S3660
S3661,,Rondelet,43.6040889251336,3.87485354148993,1,
197,05212,Rondelet,43.6040889251336,3.87485354148993,0,S3661
1214,42125,Rondelet,43.6030802177349,3.87624899612494,0,S3661
1253,42245,Rondelet,43.6030784578395,3.87637265425441,0,S3661
S3662,,Roqueturière,43.6303560744951,3.88562318226634,1,
402,10104,Roqueturière,43.6303560744951,3.88562318226634,0,S3662
449,10216,Roqueturière,43.629867625509,3.88583270790875,0,S3662
S3663,,Rouget de Lisle,43.5948005699349,3.83983506277174,1,
119,04103,Rouget de Lisle,43.5948005699349,3.83983506277174,0,S3663
163,04238,Rouget de Lisle,43.5945971519245,3.83959470779995,0,S3663
S3664,,Route de Ganges,43.6429532782356,3.84534892210135,1,
